id,origin,destination,algorithm,distance_straight_line,obst_qty,time_to_plan,d_path,ratio,distance_to_objective,factibility,qty_wp,first_factible_route_found_time,exception,battery
0,region_12,region_1,rrt,2.011585951074169,0,0.05459856986999512,2335.699049174867,1161.123166488424,0.0,feasible,95,,,100
0,region_12,region_1,rrt,2.011585951074169,0,0.05459856986999512,2335.699049174867,1161.123166488424,0.0,feasible,95,,,75
0,region_12,region_1,rrt,2.011585951074169,0,0.05459856986999512,2335.699049174867,1161.123166488424,0.0,feasible,95,,,50
0,region_12,region_1,rrt,2.011585951074169,0,0.05459856986999512,2335.699049174867,1161.123166488424,0.0,feasible,95,,,25
0,region_12,region_1,rrt,2.011585951074169,0,0.05459856986999512,2335.699049174867,1161.123166488424,0.0,feasible,95,,,15
0,region_12,region_1,rrt,2.011585951074169,0,0.05459856986999512,2335.699049174867,1161.123166488424,0.0,feasible,95,,,10
1,region_12,region_1,pfp,2.011585951074169,0,8.225893020629883,2161.9965274383103,1074.7721350329691,802.992398981437,verify,96,,,100
1,region_12,region_1,pfp,2.011585951074169,0,8.225893020629883,2161.9965274383103,1074.7721350329691,802.992398981437,verify,96,,,75
1,region_12,region_1,pfp,2.011585951074169,0,8.225893020629883,2161.9965274383103,1074.7721350329691,802.992398981437,verify,96,,,50
1,region_12,region_1,pfp,2.011585951074169,0,8.225893020629883,2161.9965274383103,1074.7721350329691,802.992398981437,verify,96,,,25
1,region_12,region_1,pfp,2.011585951074169,0,8.225893020629883,2161.9965274383103,1074.7721350329691,802.992398981437,verify,96,,,15
1,region_12,region_1,pfp,2.011585951074169,0,8.225893020629883,2161.9965274383103,1074.7721350329691,802.992398981437,verify,96,,,10
2,region_12,region_1,ag,2.011585951074169,0,5.614342927932739,2157.8053141157566,1072.6885982493106,0,feasible,6,,,100
2,region_12,region_1,ag,2.011585951074169,0,5.614342927932739,2157.8053141157566,1072.6885982493106,0,feasible,6,,,75
2,region_12,region_1,ag,2.011585951074169,0,5.614342927932739,2157.8053141157566,1072.6885982493106,0,feasible,6,,,50
2,region_12,region_1,ag,2.011585951074169,0,5.614342927932739,2157.8053141157566,1072.6885982493106,0,feasible,6,,,25
2,region_12,region_1,ag,2.011585951074169,0,5.614342927932739,2157.8053141157566,1072.6885982493106,0,feasible,6,,,15
2,region_12,region_1,ag,2.011585951074169,0,5.614342927932739,2157.8053141157566,1072.6885982493106,0,feasible,6,,,10
3,region_12,region_2,rrt,1.5172224250943438,0,0.025733232498168945,1735.9415909343452,1144.1576147455116,0.0,feasible,71,,,100
3,region_12,region_2,rrt,1.5172224250943438,0,0.025733232498168945,1735.9415909343452,1144.1576147455116,0.0,feasible,71,,,75
3,region_12,region_2,rrt,1.5172224250943438,0,0.025733232498168945,1735.9415909343452,1144.1576147455116,0.0,feasible,71,,,50
3,region_12,region_2,rrt,1.5172224250943438,0,0.025733232498168945,1735.9415909343452,1144.1576147455116,0.0,feasible,71,,,25
3,region_12,region_2,rrt,1.5172224250943438,0,0.025733232498168945,1735.9415909343452,1144.1576147455116,0.0,feasible,71,,,15
3,region_12,region_2,rrt,1.5172224250943438,0,0.025733232498168945,1735.9415909343452,1144.1576147455116,0.0,feasible,71,,,10
4,region_12,region_2,pfp,1.5172224250943438,0,5.840859889984131,1633.1460633342977,1076.405170608222,923.3744033206721,verify,69,,,100
4,region_12,region_2,pfp,1.5172224250943438,0,5.840859889984131,1633.1460633342977,1076.405170608222,923.3744033206721,verify,69,,,75
4,region_12,region_2,pfp,1.5172224250943438,0,5.840859889984131,1633.1460633342977,1076.405170608222,923.3744033206721,verify,69,,,50
4,region_12,region_2,pfp,1.5172224250943438,0,5.840859889984131,1633.1460633342977,1076.405170608222,923.3744033206721,verify,69,,,25
